Land-Ocean: Northern Hemispheric Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.54,-.38,-.26,-.37,-.11,-.22,-.23,-.24,-.26,-.32,-.37,-.48,-.32,***,***,-.24,-.23,-.32
1881,-.19,-.25,.02,-.02,-.06,-.36,-.06,-.03,-.23,-.40,-.42,-.28,-.19,-.21,-.31,-.02,-.15,-.35
1882,.22,.22,.00,-.36,-.32,-.38,-.37,-.14,-.17,-.53,-.32,-.42,-.21,-.20,.06,-.22,-.30,-.34
1883,-.59,-.67,-.16,-.27,-.32,-.26,-.09,-.26,-.33,-.21,-.40,-.25,-.32,-.33,-.56,-.25,-.20,-.32
1884,-.23,-.11,-.65,-.62,-.42,-.52,-.48,-.50,-.45,-.41,-.48,-.40,-.44,-.43,-.20,-.56,-.50,-.44
1885,-1.00,-.37,-.21,-.53,-.55,-.47,-.39,-.44,-.32,-.30,-.28,.00,-.40,-.44,-.59,-.43,-.44,-.30
1886,-.68,-.68,-.57,-.34,-.34,-.43,-.20,-.47,-.34,-.31,-.45,-.17,-.42,-.40,-.45,-.42,-.37,-.37
1887,-1.07,-.58,-.36,-.42,-.27,-.20,-.23,-.52,-.17,-.40,-.19,-.43,-.40,-.38,-.61,-.35,-.32,-.25
1888,-.53,-.59,-.58,-.24,-.16,-.04,.04,-.19,-.12,.04,-.03,-.26,-.22,-.24,-.52,-.33,-.06,-.04
1889,-.31,.35,.07,.15,-.05,-.12,-.10,-.16,-.26,-.34,-.61,-.55,-.16,-.14,-.07,.06,-.13,-.40
1890,-.65,-.56,-.44,-.36,-.48,-.20,-.24,-.38,-.40,-.07,-.69,-.43,-.41,-.42,-.59,-.43,-.27,-.39
1891,-.59,-.68,-.12,-.32,-.21,-.14,-.12,-.09,-.03,-.26,-.56,-.02,-.26,-.30,-.57,-.22,-.12,-.28
1892,-.45,-.16,-.56,-.48,-.28,-.11,-.38,-.28,-.13,-.22,-.81,-.65,-.37,-.32,-.21,-.44,-.26,-.39
1893,-1.47,-.89,-.28,-.30,-.44,-.22,-.13,-.33,-.22,-.23,-.26,-.63,-.45,-.45,-1.00,-.34,-.23,-.24
1894,-.87,-.43,-.21,-.59,-.33,-.48,-.24,-.22,-.26,-.24,-.47,-.31,-.39,-.41,-.64,-.38,-.31,-.32
1895,-.73,-.77,-.39,-.23,-.30,-.26,-.18,-.24,.02,-.04,-.06,-.24,-.29,-.29,-.60,-.31,-.23,-.03
1896,-.44,-.21,-.49,-.60,-.22,.01,-.02,-.07,-.05,.14,-.25,-.18,-.20,-.20,-.30,-.44,-.03,-.05
1897,-.38,-.34,-.39,-.05,.07,-.13,-.01,-.09,-.03,-.13,-.25,-.28,-.17,-.16,-.30,-.12,-.07,-.14
1898,.03,-.45,-.77,-.30,-.31,-.11,-.14,-.16,-.17,-.35,-.46,-.26,-.29,-.29,-.23,-.46,-.13,-.32
1899,-.13,-.67,-.53,-.20,-.26,-.38,-.20,-.03,.00,.07,.38,-.48,-.20,-.19,-.35,-.33,-.21,.15
1900,-.60,-.06,.12,-.14,-.03,-.15,-.13,-.07,.02,.25,-.15,-.01,-.08,-.12,-.38,-.02,-.12,.04
1901,-.35,.07,.35,.11,-.12,.03,.02,-.13,-.26,-.31,-.19,-.40,-.10,-.07,-.09,.11,-.03,-.25
1902,-.15,.13,-.37,-.39,-.43,-.43,-.32,-.29,-.32,-.29,-.49,-.64,-.33,-.31,-.14,-.40,-.35,-.37
1903,-.22,.20,-.14,-.45,-.48,-.51,-.45,-.59,-.47,-.47,-.43,-.55,-.38,-.39,-.22,-.36,-.51,-.46
1904,-.82,-.56,-.40,-.57,-.49,-.51,-.60,-.52,-.57,-.37,-.11,-.34,-.49,-.51,-.64,-.49,-.54,-.35
1905,-.50,-.79,-.24,-.46,-.32,-.32,-.23,-.23,-.14,-.24,.07,-.25,-.30,-.31,-.54,-.34,-.26,-.10
1906,-.55,-.57,-.17,.06,-.23,-.10,-.28,-.12,-.19,-.13,-.39,.02,-.22,-.24,-.46,-.11,-.16,-.24
1907,-.54,-.71,-.27,-.47,-.60,-.51,-.41,-.36,-.36,-.19,-.59,-.58,-.47,-.42,-.41,-.45,-.43,-.38
1908,-.52,-.24,-.67,-.48,-.36,-.36,-.40,-.55,-.29,-.44,-.58,-.53,-.45,-.46,-.45,-.50,-.44,-.44
1909,-.86,-.46,-.61,-.68,-.51,-.51,-.42,-.30,-.31,-.28,-.09,-.54,-.46,-.46,-.62,-.60,-.41,-.23
1910,-.39,-.41,-.48,-.36,-.32,-.44,-.39,-.41,-.37,-.26,-.55,-.78,-.43,-.41,-.45,-.39,-.41,-.39
1911,-.73,-.58,-.60,-.43,-.47,-.32,-.37,-.40,-.31,-.11,-.12,-.29,-.39,-.44,-.70,-.50,-.37,-.18
1912,-.35,-.11,-.55,-.22,-.15,-.18,-.55,-.76,-.70,-.81,-.48,-.56,-.45,-.43,-.25,-.30,-.50,-.67
